Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,7.859767858144582,0.6088261968744704,7.470082301008911,9.028816981776384,7.269448183509728,8.636668882505484,8.370817007830675,7.163855406936294,7.977004178018523,7.501208077970709,7.271560415283055,7.908217146606063
1,5.253647425969566,0.4638281719764264,5.450473019675787,5.8158118944299115,4.995162920582348,5.223386375041451,5.617623570989602,4.967866248297405,5.84597090641164,4.798151830410387,4.3103482735634815,5.511679220293646
2,4.1123988270593514,0.3396919712444721,4.0527876653163055,4.6923884402178295,4.018598113314532,3.81214007510895,4.346293290923694,4.085891198352211,4.6683765139155895,3.8014166359679904,3.615282644317259,4.030813693159154
3,3.503755049329434,0.24041984279748455,3.571284343556336,4.005978031401101,3.2133151936702093,3.2642460414959573,3.720344052341108,3.407640852324438,3.7249700324777915,3.2452596500126,3.4467338238948257,3.4377784721199767
4,3.0773792940748157,0.20790331310591526,3.2652168255735883,3.4442479585476415,2.8328385416937705,2.9599755587608025,3.25810350011946,2.9963139688647082,3.252489992742282,2.7470334888265984,2.9956784940591983,3.0218946115601124
5,2.7771089493033165,0.22222322622427634,3.0824555629856594,3.0949079142544345,2.682286382121104,2.7686918316217106,2.995817193400534,2.433264458730408,2.8615328484228035,2.5252164250380913,2.5450011180345635,2.781915758423857
6,2.6043048986608297,0.20724538190951894,3.0824555629856594,2.8331388445344596,2.565156688834846,2.6211636034026906,2.6151799242135265,2.3414577879317764,2.4976451317768036,2.3893550856516956,2.465871896359956,2.6316244609168837
7,2.5059019710664616,0.21963300938696145,3.0824555629856594,2.6472358141024266,2.540844077913344,2.4576400173969613,2.466562792313885,2.2291392558594976,2.4028911828728585,2.352826053744887,2.38728923381132,2.4921357196637755
8,2.4769198244681574,0.22744089211261687,3.0824555629856594,2.564886425608832,2.540844077913344,2.4576400173969613,2.43877065100584,2.1707649079621603,2.4028911828728585,2.331101359903056,2.415972269421969,2.363871789610893
9,2.443783981946495,0.23820770480792092,3.0824555629856594,2.505360414523559,2.540844077913344,2.4576400173969613,2.334361032778024,2.1707649079621603,2.4028911828728585,2.2467046450647037,2.369685122373209,2.327132855594471
10,2.4327138833840123,0.2446618461936716,3.0824555629856594,2.505360414523559,2.540844077913344,2.4576400173969613,2.250269767038127,2.1707649079621603,2.4028911828728585,2.2467046450647037,2.369685122373209,2.300523135709542
11,2.431113825871821,0.2458989686784043,3.0824555629856594,2.505360414523559,2.540844077913344,2.4576400173969613,2.2342691919162085,2.1707649079621603,2.4028911828728585,2.2467046450647037,2.369685122373209,2.300523135709542
12,2.4286690758277003,0.24795678227708243,3.0824555629856594,2.505360414523559,2.540844077913344,2.4576400173969613,2.2098216914750064,2.1707649079621603,2.4028911828728585,2.2467046450647037,2.369685122373209,2.300523135709542
13,2.4286690758277003,0.24795678227708243,3.0824555629856594,2.505360414523559,2.540844077913344,2.4576400173969613,2.2098216914750064,2.1707649079621603,2.4028911828728585,2.2467046450647037,2.369685122373209,2.300523135709542
14,2.4286690758277003,0.24795678227708243,3.0824555629856594,2.505360414523559,2.540844077913344,2.4576400173969613,2.2098216914750064,2.1707649079621603,2.4028911828728585,2.2467046450647037,2.369685122373209,2.300523135709542
