PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,24,17,22,29,19,26,19,29,20,22
1,0.0,18,23,18,19,19,18,23,15,19,18
2,0.0,16,15,12,15,18,13,18,15,15,16
3,0.0,11,13,14,12,12,8,12,14,14,12
4,0.0,10,7,9,6,10,8,9,7,8,4
5,0.0,4,6,5,4,5,6,3,3,7,8
6,0.0,3,6,4,3,3,4,3,3,5,3
7,0.0,6,6,7,3,3,4,4,6,2,3
8,0.0,2,2,3,2,2,3,1,2,2,5
9,0.0,4,3,3,2,3,1,4,4,1,2
10,NaN,0,2,1,3,2,5,1,2,4,3
11,NaN,0,0,1,0,2,1,2,0,0,0
12,0.0,2,0,1,1,1,2,0,0,2,3
13,NaN,0,0,0,1,1,1,1,0,1,1
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
