PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,8,14,12,11,10,11,11,16,10,8
1,0.0,11,6,10,10,5,10,6,10,8,7
2,0.0,14,12,9,5,9,8,10,7,10,8
3,0.0,8,7,11,12,16,10,11,11,13,15
4,0.0,5,7,4,3,3,8,5,2,3,6
5,0.0,13,7,5,10,5,9,9,9,7,10
6,0.0,4,6,4,7,6,1,6,2,5,3
7,0.0,4,3,5,1,4,1,2,4,6,3
8,0.0,4,4,2,1,6,4,5,3,3,4
9,0.0,6,5,5,5,7,6,8,9,8,6
10,0.0,5,3,5,8,11,4,8,5,6,3
11,0.0,2,7,9,6,4,8,5,11,4,7
12,0.0,5,6,7,7,5,4,1,2,7,6
13,0.0,4,3,5,4,3,3,4,2,5,7
14,0.0,3,6,5,6,4,8,5,3,2,4
15,0.0,4,4,2,4,2,5,4,4,3,3
