PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,31,26,26,26,22,24,24,25,20,20
1,0.0,11,20,18,16,15,9,18,14,16,15
2,0.0,14,9,12,10,13,14,13,10,13,14
3,0.0,6,9,8,7,15,8,7,15,10,7
4,0.0,7,3,3,2,3,9,3,4,4,5
5,0.0,2,3,2,3,3,8,5,2,9,5
6,0.0,3,7,3,7,3,4,2,1,2,5
7,0.0,7,4,4,6,1,4,1,4,4,5
8,0.0,5,3,5,3,7,3,6,5,3,2
9,0.0,3,4,5,4,5,3,5,9,5,5
10,0.0,1,5,0,3,5,3,4,3,6,6
11,0.0,2,2,2,2,2,3,4,2,1,4
12,0.0,6,1,4,3,3,2,4,1,3,3
13,NaN,0,1,5,4,2,4,3,2,3,2
14,0.0,2,1,2,0,0,1,0,1,1,2
15,NaN,0,2,1,4,1,1,1,2,0,0
