Unfairness weight,Local cost weight,Global cost weight
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001
0.0,0.39999999999999997,0.6000000000000001

