PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,8,9,8,8,13,10,10,9,7,4
1,0.0,10,9,12,8,6,9,9,7,9,8
2,0.0,8,7,11,6,9,6,8,7,6,11
3,0.0,5,8,7,12,13,5,10,9,10,5
4,0.0,1,3,2,3,4,5,2,4,2,9
5,0.0,9,5,5,7,4,9,3,5,5,6
6,0.0,3,6,8,3,3,3,3,3,3,6
7,0.0,5,8,3,6,7,4,4,4,7,6
8,0.0,5,8,6,4,7,5,8,4,6,5
9,0.0,6,6,5,7,8,8,6,5,6,6
10,0.0,9,8,9,7,2,6,2,8,7,8
11,0.0,4,4,7,7,2,5,11,12,5,6
12,0.0,11,5,4,7,3,8,4,6,8,5
13,0.0,3,1,6,10,7,9,8,5,7,6
14,0.0,7,4,5,3,9,4,4,6,6,5
15,0.0,6,9,2,2,3,4,8,6,6,4
