PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,28,27,37,24,33,29,38,38,33,28
1,0.0,16,19,18,18,16,23,17,17,21,17
2,0.0,22,22,10,19,20,21,14,13,20,22
3,0.0,13,13,16,18,10,12,16,13,14,14
4,0.0,7,4,5,6,6,4,3,7,6,7
5,0.0,7,5,4,4,3,5,9,3,3,4
6,0.0,4,6,6,5,5,1,3,3,0,5
7,0.0,1,2,2,3,2,1,0,1,1,2
8,NaN,0,2,1,2,0,1,0,4,1,1
9,0.0,1,0,0,0,3,1,0,1,0,0
10,NaN,0,0,1,0,1,1,0,0,0,0
11,NaN,0,0,0,1,1,0,0,0,0,0
12,0.0,1,0,0,0,0,1,0,0,1,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
