PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,39,24,31,31,27,38,29,28,32,24
1,0.0,14,24,25,21,21,20,21,23,15,24
2,0.0,18,21,13,16,16,16,20,18,17,17
3,0.0,14,11,14,15,17,7,17,15,13,17
4,0.0,6,5,3,6,3,7,5,4,5,4
5,0.0,2,2,4,2,6,5,1,3,6,5
6,0.0,1,6,3,5,2,2,4,2,5,1
7,0.0,4,5,4,1,4,2,2,4,4,5
8,NaN,0,0,2,2,1,1,0,1,1,2
9,0.0,1,1,1,0,1,0,0,1,0,0
10,NaN,0,1,0,0,2,1,0,0,0,1
11,NaN,0,0,0,0,0,0,1,1,0,0
12,0.0,1,0,0,1,0,1,0,0,2,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
