PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,13,16,18,10,23,12,18,15,11,12
1,0.0,9,12,13,13,6,12,11,15,10,10
2,0.0,10,16,8,9,12,18,8,11,14,15
3,0.0,16,15,9,16,9,10,9,11,11,7
4,0.0,8,6,5,4,2,7,2,5,4,8
5,0.0,6,5,9,8,8,6,8,6,9,13
6,0.0,3,5,1,6,0,3,5,3,5,6
7,0.0,1,2,4,3,4,3,6,6,3,1
8,0.0,7,1,4,4,5,5,3,7,4,3
9,0.0,5,6,2,6,3,3,9,3,10,6
10,0.0,7,5,9,5,6,2,3,4,6,3
11,0.0,3,3,8,8,6,6,4,6,6,3
12,0.0,4,4,5,4,4,5,6,5,1,6
13,NaN,0,0,2,3,5,6,2,0,2,4
14,0.0,4,3,1,1,2,2,4,1,3,1
15,0.0,4,1,2,0,5,0,2,2,1,2
