Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5,dim-6,dim-7,dim-8,dim-9,dim-10,dim-11,dim-12,dim-13,dim-14,dim-15,dim-16,dim-17,dim-18,dim-19,dim-20,dim-21,dim-22,dim-23,dim-24,dim-25,dim-26,dim-27,dim-28,dim-29,dim-30,dim-31,dim-32,dim-33,dim-34,dim-35,dim-36,dim-37,dim-38,dim-39,dim-40,dim-41,dim-42,dim-43,dim-44,dim-45,dim-46,dim-47,dim-48,dim-49,dim-50,dim-51,dim-52,dim-53,dim-54,dim-55,dim-56,dim-57,dim-58,dim-59,dim-60,dim-61,dim-62,dim-63,dim-64,dim-65,dim-66,dim-67,dim-68,dim-69,dim-70,dim-71,dim-72,dim-73,dim-74,dim-75,dim-76,dim-77,dim-78,dim-79,dim-80,dim-81,dim-82,dim-83,dim-84,dim-85,dim-86,dim-87,dim-88,dim-89,dim-90,dim-91,dim-92,dim-93,dim-94,dim-95,dim-96,dim-97,dim-98,dim-99
-1,-1,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0
0,0,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,1,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,2,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,3,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,4,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,5,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,6,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,7,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
0,8,-25.95066481282897,-24.27864153754125,-12.044878147465806,-16.965270432694503,-19.8554501859539,-21.559224246527936,-21.509978680689766,-31.64119253989405,-30.552188734766123,-18.310491712086034,-15.860881738103616,-9.593251672178495,-27.553785307972614,-17.276136601945904,-21.245822140198506,-18.310446958294268,4.431442387025792,-11.750306226818168,-19.093995447944092,-5.665481108948497,-28.61850594683039,-15.108518350943621,-21.759174345825798,-31.690510270057874,-13.575516441407006,-22.756823026038198,6.026822395681837,-22.67527991587047,-16.30285461555945,-10.026627832080264,-4.3246792390562945,-32.096738447359094,-21.218934594323958,-28.777736676490303,8.528159119612013,-40.210226965355,-17.38944326111767,-14.388911207778406,-29.168135594792886,-6.748318345689307,9.262111253419548,-10.414341108591584,-13.272370578794975,-20.96858101764014,-9.375093158118757,-31.33470941464368,-11.380469757470875,-15.492640665193303,-6.887198469021574,-23.446070380365896,-4.014266657177665,-6.838476610267539,-27.9762642963818,-22.100820784740442,-20.830610526807522,-1.2188785303248446,-25.36042116021852,-25.38349676828897,-17.48986045659582,-13.853893621216153,-18.219979690215343,-15.879720388118946,-21.35370326440829,-29.622876869874165,-18.957962861532003,-8.362051908348619,-23.422446400875128,-0.5165271241095095,-10.19783362325235,-19.773191503139955,-38.32650320179764,2.6585561867542826,-3.6492543532481956,-4.716277012189046,-15.790936695941273,-30.703617302017587,-29.431725140441934,-21.593109242211824,-7.118228977575025,-18.924704915335628,-7.06949304798459,-18.43738111985847,-16.543555053458373,-13.068241991651732,-13.253456699186964,-35.8871562592606,-10.659315603535987,-13.141317315825576,-15.386326249461522,-21.90805017940118,-12.417121683848498,-17.347692803631706,-7.666662466763217,16.54472686737757,-22.976897817866448,-18.055256254178204,-10.055453775471042,-21.700933008729105,-30.938887053629333,-5.903499318179701
