PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,17,18,17,24,15,23,17,19,14,20
1,0.0,11,19,16,13,18,15,13,14,14,12
2,0.0,11,8,11,7,11,11,7,10,15,12
3,0.0,8,10,8,7,10,9,14,10,13,10
4,0.0,3,5,2,3,6,5,4,5,4,4
5,0.0,4,7,5,9,6,5,7,7,4,7
6,0.0,4,3,5,3,5,5,7,3,2,5
7,0.0,9,5,6,5,1,8,3,5,5,7
8,0.0,5,7,7,5,6,2,5,4,5,4
9,0.0,11,5,4,5,6,3,7,11,5,5
10,0.0,3,4,3,4,1,1,5,3,6,4
11,0.0,2,4,2,1,2,4,4,2,2,4
12,0.0,7,2,5,7,7,4,1,3,6,1
13,0.0,5,1,6,5,3,4,3,2,3,2
14,NaN,0,2,2,1,1,1,2,1,2,3
15,NaN,0,0,1,1,2,0,1,1,0,0
