PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,20,27,23,26,29,27,32,32,21,27
1,0.0,17,20,12,16,14,14,17,12,16,12
2,0.0,17,12,10,13,11,8,10,13,17,10
3,0.0,16,9,15,13,9,13,9,13,14,9
4,0.0,7,5,11,3,11,13,5,6,9,13
5,0.0,11,5,9,4,7,6,6,7,3,5
6,0.0,2,1,4,5,1,7,3,5,5,5
7,0.0,1,5,6,3,3,2,4,1,2,5
8,0.0,2,2,4,3,2,4,2,1,3,1
9,0.0,2,4,0,4,4,2,1,5,3,3
10,0.0,2,4,0,3,3,1,2,1,1,2
11,0.0,1,1,2,3,4,1,4,3,2,2
12,0.0,1,2,3,2,2,2,2,1,1,2
13,0.0,1,2,0,1,0,0,0,0,3,3
14,NaN,0,0,0,0,0,0,3,0,0,0
15,NaN,0,1,1,1,0,0,0,0,0,1
