PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,14,10,12,16,9,14,10,13,13,9
1,0.0,11,18,10,10,17,10,12,12,11,10
2,0.0,13,12,14,8,13,10,9,7,13,16
3,0.0,12,10,11,9,8,10,6,11,11,8
4,0.0,4,5,4,4,8,7,8,7,7,4
5,0.0,6,2,7,8,7,8,9,5,8,13
6,0.0,6,8,8,10,5,6,5,5,4,6
7,0.0,6,6,7,8,3,3,4,5,5,4
8,0.0,4,6,4,5,4,1,4,8,4,3
9,0.0,7,3,4,4,6,7,3,11,3,5
10,0.0,2,6,3,5,7,6,10,6,4,4
11,0.0,5,3,5,3,4,5,7,2,3,1
12,0.0,5,6,6,5,4,4,6,5,3,4
13,0.0,2,4,2,2,4,5,3,3,7,8
14,0.0,1,0,3,1,1,2,1,0,1,2
15,0.0,2,1,0,2,0,2,3,0,3,3
