PlanGenerator ID,PlanGenerator Scores,Run-0
0,0.0,100
1,NaN,0
2,NaN,0
3,NaN,0
4,NaN,0
5,NaN,0
6,NaN,0
7,NaN,0
8,NaN,0
9,NaN,0
10,NaN,0
11,NaN,0
12,NaN,0
13,NaN,0
14,NaN,0
15,NaN,0
