PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,21,15,12,17,13,18,15,13,18,11
1,0.0,12,20,12,11,14,8,19,6,17,13
2,0.0,17,12,16,13,13,19,11,13,11,21
3,0.0,7,12,18,7,11,13,11,16,13,12
4,0.0,7,5,10,6,7,7,9,8,8,5
5,0.0,3,1,6,9,7,9,5,4,7,10
6,0.0,4,8,3,10,8,6,6,6,3,4
7,0.0,9,5,9,5,5,4,5,5,4,4
8,0.0,3,6,2,4,2,3,3,10,7,4
9,0.0,6,7,2,5,7,4,1,10,2,2
10,0.0,3,4,3,4,3,2,5,4,5,4
11,0.0,2,1,2,3,5,2,2,3,1,3
12,0.0,3,3,4,3,3,3,5,1,2,4
13,NaN,0,1,0,2,1,1,2,1,2,2
14,0.0,3,0,0,0,0,1,1,0,0,0
15,NaN,0,0,1,1,1,0,0,0,0,1
