PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,12,7,8,7,6,5,14,8,9,7
1,0.0,9,14,11,8,8,7,6,6,9,6
2,0.0,11,11,8,10,10,5,6,3,9,3
3,0.0,3,5,7,8,8,6,6,9,3,14
4,0.0,3,5,3,2,4,5,3,7,5,7
5,0.0,8,6,8,5,5,8,8,4,4,11
6,0.0,1,4,5,5,5,5,6,3,2,4
7,0.0,4,2,3,7,4,5,3,7,4,1
8,0.0,6,4,8,6,7,5,2,7,8,4
9,0.0,7,10,11,7,7,6,8,7,8,9
10,0.0,6,3,7,7,7,12,7,5,7,5
11,0.0,8,7,3,8,7,6,9,14,8,6
12,0.0,6,11,5,5,11,10,5,8,1,5
13,0.0,7,6,8,6,5,8,8,4,10,7
14,0.0,4,4,3,3,3,3,5,3,7,5
15,0.0,5,1,2,6,3,4,4,5,6,6
