PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,17,14,17,19,17,19,16,16,19,16
1,0.0,9,17,9,16,16,8,15,12,15,14
2,0.0,13,10,20,7,9,15,13,9,13,13
3,0.0,9,10,10,8,14,10,10,11,7,8
4,0.0,8,6,7,5,4,7,7,4,4,4
5,0.0,6,2,4,9,5,7,9,6,6,7
6,0.0,4,8,5,7,5,5,2,4,3,5
7,0.0,7,5,5,3,2,3,4,5,5,5
8,0.0,6,5,7,9,5,1,3,7,4,3
9,0.0,9,5,5,2,7,5,4,10,4,3
10,NaN,0,6,2,6,5,2,4,5,3,6
11,0.0,3,4,1,2,3,6,3,5,4,4
12,0.0,6,2,4,3,4,3,6,1,5,4
13,0.0,2,4,2,3,4,7,2,4,5,5
14,NaN,0,1,0,1,0,2,1,0,1,1
15,0.0,1,1,2,0,0,0,1,1,2,2
