Run,Terminal Iteration
0,7
1,5
2,10
3,6
4,8
5,6
6,5
7,8
8,8
9,7
Run,Terminal Iteration
0,7
1,5
2,10
3,6
4,8
5,6
6,5
7,8
8,8
9,7
