PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,33,32,29,32,28,32,30,33,30,27
1,0.0,19,21,23,21,21,17,25,18,20,23
2,0.0,15,14,16,15,20,19,18,16,16,17
3,0.0,15,11,14,15,12,10,11,13,13,10
4,0.0,3,5,5,5,4,7,4,5,7,5
5,0.0,3,3,5,3,3,6,3,6,3,8
6,0.0,5,8,2,2,5,2,5,1,4,2
7,0.0,4,5,2,1,2,5,3,4,2,4
8,0.0,1,0,2,4,3,2,1,2,2,3
9,0.0,1,1,2,1,1,0,0,1,1,0
10,NaN,0,0,0,0,1,0,0,1,1,0
11,NaN,0,0,0,0,0,0,0,0,0,0
12,0.0,1,0,0,1,0,0,0,0,1,1
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
