PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,39,39,35,39,35,28,36,39,31,31
1,0.0,23,17,18,20,20,21,22,20,20,20
2,0.0,12,15,15,14,15,18,16,14,17,16
3,0.0,14,10,14,14,12,9,11,11,15,10
4,0.0,4,3,6,4,6,10,4,5,7,5
5,0.0,1,0,5,1,3,5,2,3,2,6
6,0.0,2,6,2,3,2,4,2,2,4,2
7,0.0,2,5,2,1,3,2,5,3,3,4
8,0.0,1,1,2,3,2,1,1,3,0,3
9,0.0,1,0,0,0,1,1,1,0,0,0
10,NaN,0,3,0,0,1,0,0,0,0,2
11,NaN,0,1,0,0,0,0,0,0,0,0
12,0.0,1,0,0,1,0,1,0,0,1,1
13,NaN,0,0,1,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
