PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,9,8,9,8,4,12,8,13,6,10
1,0.0,9,15,15,7,9,10,4,8,9,10
2,0.0,9,11,13,8,11,6,9,5,7,3
3,0.0,5,7,4,9,8,5,7,4,8,15
4,0.0,8,6,4,0,3,7,5,7,6,9
5,0.0,5,7,5,5,6,5,4,3,6,11
6,0.0,3,2,4,7,5,6,5,5,3,4
7,0.0,4,1,4,4,5,1,6,5,4,2
8,0.0,4,6,8,4,6,5,7,7,8,3
9,0.0,8,9,12,8,9,7,7,8,6,9
10,0.0,7,4,3,6,9,9,5,4,8,2
11,0.0,5,5,3,11,4,7,10,13,5,4
12,0.0,8,7,8,8,8,8,7,5,8,4
13,0.0,5,5,2,5,6,7,6,3,4,8
14,0.0,5,5,5,5,4,2,6,6,6,4
15,0.0,6,2,1,5,3,3,4,4,6,2
