PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,17,10,18,19,12,20,12,16,12,10
1,0.0,12,16,6,7,17,10,10,14,15,11
2,0.0,11,7,11,10,9,16,12,8,13,16
3,0.0,11,12,12,13,9,10,7,13,8,8
4,0.0,7,6,5,4,6,5,5,5,6,4
5,0.0,6,8,6,8,9,5,10,5,6,12
6,0.0,4,10,6,7,5,4,5,4,4,4
7,0.0,8,5,8,4,4,3,6,6,4,6
8,0.0,7,7,9,6,3,2,2,7,5,6
9,0.0,4,6,4,4,7,5,3,6,6,3
10,0.0,1,5,2,4,7,2,6,6,5,4
11,0.0,4,1,3,4,3,9,6,2,2,3
12,0.0,5,1,3,3,3,3,7,3,4,4
13,0.0,2,4,0,4,5,4,4,5,6,5
14,NaN,0,1,5,1,0,2,3,0,1,1
15,0.0,1,1,2,2,1,0,2,0,3,3
