PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,15,11,13,16,13,14,12,11,9,10
1,0.0,13,11,12,14,15,14,17,14,11,7
2,0.0,14,9,10,9,14,10,7,8,11,13
3,0.0,10,9,11,9,7,9,8,10,11,13
4,0.0,4,5,3,5,3,5,5,5,5,3
5,0.0,4,6,6,5,6,7,4,7,8,6
6,0.0,2,10,8,3,4,5,6,4,2,9
7,0.0,7,5,7,5,4,5,3,4,6,4
8,0.0,3,5,7,5,5,3,6,7,4,5
9,0.0,5,4,4,4,8,6,3,9,6,4
10,0.0,5,7,1,3,1,6,6,5,5,5
11,0.0,8,3,4,2,5,6,6,5,4,7
12,0.0,5,4,5,6,5,5,6,5,5,3
13,0.0,2,5,4,9,6,2,7,3,8,4
14,0.0,2,4,2,3,2,2,1,1,3,3
15,0.0,1,2,3,2,2,1,3,2,2,4
