PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,43,45,37,49,42,45,50,43,41,41
1,0.0,14,8,19,10,13,12,12,13,15,12
2,0.0,4,11,6,10,6,6,10,8,13,4
3,0.0,8,6,10,6,5,12,8,10,6,10
4,0.0,6,11,6,2,9,7,3,9,6,11
5,0.0,6,4,6,1,7,4,6,6,1,3
6,0.0,1,0,3,3,5,0,1,3,3,3
7,0.0,1,4,2,3,2,2,1,1,6,4
8,0.0,2,2,3,3,0,3,1,1,1,0
9,0.0,3,0,1,2,3,2,1,2,1,3
10,0.0,2,1,1,1,1,2,1,1,1,3
11,0.0,4,1,2,2,2,2,1,0,2,1
12,0.0,3,2,2,7,1,1,2,0,3,3
13,NaN,0,2,1,0,0,0,1,0,1,1
14,0.0,1,2,0,0,3,1,0,3,0,0
15,0.0,2,1,1,1,1,1,2,0,0,1
