Run,Terminal Iteration
0,7
1,4
2,13
3,5
4,7
5,5
6,6
7,7
8,11
9,7
Run,Terminal Iteration
0,7
1,4
2,13
3,5
4,7
5,5
6,6
7,7
8,11
9,7
