PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,12,14,7,5,11,13,11,10,10,13
1,0.0,8,6,10,9,15,7,11,10,9,9
2,0.0,10,12,14,10,8,12,8,8,10,9
3,0.0,13,7,11,18,14,7,5,13,10,9
4,0.0,6,7,5,2,3,4,4,6,3,4
5,0.0,10,7,7,8,3,7,12,8,6,9
6,0.0,7,6,2,5,1,4,5,3,4,6
7,0.0,3,3,4,1,9,1,4,5,6,2
8,0.0,4,4,8,2,7,5,4,1,2,3
9,0.0,3,5,7,8,6,7,7,3,4,6
10,0.0,7,3,5,6,7,5,12,4,5,7
11,0.0,6,7,3,11,4,4,2,11,11,9
12,0.0,3,6,6,5,3,10,3,5,5,7
13,0.0,3,3,3,2,3,7,3,3,8,3
14,0.0,3,6,7,6,4,5,4,7,3,1
15,0.0,2,4,1,2,2,2,5,3,4,3
