PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,10,5,10,5,7,9,9,8,11,5
1,0.0,9,8,9,11,13,9,8,6,7,12
2,0.0,12,8,10,9,11,8,10,5,8,11
3,0.0,11,12,12,9,4,11,12,11,10,11
4,0.0,5,4,4,6,2,4,5,4,4,1
5,0.0,7,5,5,6,8,9,7,4,6,8
6,0.0,2,10,10,5,4,9,4,3,3,4
7,0.0,6,6,9,6,3,5,6,6,6,4
8,0.0,3,7,7,4,10,5,5,14,6,5
9,0.0,7,7,3,5,12,1,4,11,4,5
10,0.0,4,7,5,4,7,4,3,7,7,6
11,0.0,3,6,4,2,3,8,6,6,4,6
12,0.0,6,5,5,10,7,3,9,6,4,5
13,0.0,7,4,3,6,6,6,4,4,10,7
14,0.0,6,1,1,5,0,5,2,0,5,4
15,0.0,2,5,3,7,3,4,6,5,5,6
