Unfairness weight,Local cost weight,Global cost weight
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007
0.0,0.7999999999999999,0.20000000000000007

