Run,Terminal Iteration
0,10
1,6
2,7
3,3
4,8
5,10
6,8
7,11
8,8
9,12
Run,Terminal Iteration
0,10
1,6
2,7
3,3
4,8
5,10
6,8
7,11
8,8
9,12
