Run,Terminal Iteration
0,14
1,6
2,10
3,5
4,6
5,6
6,12
7,7
8,11
9,6
Run,Terminal Iteration
0,14
1,6
2,10
3,5
4,6
5,6
6,12
7,7
8,11
9,6
