PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,10,10,10,8,7,11,10,8,9,12
1,0.0,8,8,16,9,7,10,10,5,12,9
2,0.0,10,9,8,10,2,5,6,6,7,4
3,0.0,10,3,9,8,11,9,6,6,8,8
4,0.0,10,8,6,8,6,12,5,8,5,4
5,0.0,9,12,4,9,5,5,8,8,13,10
6,0.0,4,3,3,3,7,5,8,8,7,6
7,0.0,2,5,3,6,10,4,4,10,5,7
8,0.0,7,7,8,3,5,5,2,6,7,4
9,0.0,3,5,4,9,6,8,9,2,3,6
10,0.0,5,4,5,6,4,4,9,4,2,3
11,0.0,8,8,8,6,9,7,10,8,5,11
12,0.0,1,7,5,6,4,8,3,9,5,5
13,0.0,6,3,1,3,2,3,4,6,4,4
14,0.0,1,2,5,3,8,1,2,3,3,4
15,0.0,6,6,5,3,7,3,4,3,5,3
