PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,10,9,10,12,7,6,7,7,8,8
1,0.0,9,17,9,9,16,10,12,5,12,11
2,0.0,12,6,10,7,8,11,8,9,9,11
3,0.0,10,10,12,8,5,11,6,7,10,5
4,0.0,5,1,4,4,4,4,5,4,6,2
5,0.0,6,7,5,9,8,6,9,7,3,11
6,0.0,4,6,10,8,5,8,2,3,5,7
7,0.0,7,7,9,8,5,4,5,8,4,7
8,0.0,3,6,7,6,6,6,6,9,5,8
9,0.0,7,6,3,7,5,4,3,9,4,5
10,0.0,3,3,5,5,8,3,7,5,7,4
11,0.0,5,8,4,2,6,5,7,7,1,5
12,0.0,9,4,5,5,6,5,10,8,6,3
13,0.0,5,4,3,5,5,6,5,8,8,4
14,0.0,3,3,1,3,4,7,4,1,5,5
15,0.0,2,3,3,2,2,4,4,3,7,4
