PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,12,7,11,7,8,6,8,6,9,6
1,0.0,7,9,11,9,12,11,8,5,8,9
2,0.0,10,11,5,7,11,11,8,7,7,12
3,0.0,9,7,11,8,6,11,8,12,10,9
4,0.0,4,1,5,4,2,3,8,5,1,2
5,0.0,6,4,6,3,9,4,7,4,6,8
6,0.0,4,5,11,8,3,7,4,3,4,5
7,0.0,7,9,10,9,2,5,4,7,7,7
8,0.0,7,8,7,5,8,4,6,12,8,4
9,0.0,6,7,3,10,10,7,5,10,6,5
10,0.0,5,6,2,4,8,3,3,7,6,6
11,0.0,5,4,4,3,4,10,5,7,4,6
12,0.0,6,8,6,9,6,4,8,4,5,4
13,0.0,5,6,4,5,8,8,10,4,8,6
14,0.0,3,2,2,6,1,4,3,3,5,4
15,0.0,4,6,2,3,2,2,5,4,6,7
