PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,30,23,27,27,33,25,30,26,26,28
1,0.0,10,27,9,17,9,15,14,12,18,14
2,0.0,11,16,13,13,14,16,15,13,16,12
3,0.0,17,11,18,10,12,13,14,18,16,11
4,0.0,7,4,6,10,10,9,2,6,4,9
5,0.0,6,6,10,7,5,8,8,5,6,8
6,0.0,6,5,6,3,4,5,7,3,5,4
7,0.0,2,1,2,4,3,1,4,4,1,5
8,0.0,2,2,5,3,0,1,1,1,1,1
9,0.0,3,1,1,2,3,2,2,6,2,4
10,0.0,2,1,0,0,3,0,0,2,2,3
11,0.0,2,2,2,1,2,1,1,3,2,0
12,0.0,2,0,1,2,1,3,1,1,1,0
13,NaN,0,1,0,0,1,1,0,0,0,1
14,NaN,0,0,0,0,0,0,1,0,0,0
15,NaN,0,0,0,1,0,0,0,0,0,0
