PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,12,7,11,7,8,11,8,8,6,7
1,0.0,7,9,7,10,13,8,8,6,8,9
2,0.0,11,11,8,7,9,11,9,7,10,11
3,0.0,8,7,10,8,6,8,8,7,12,10
4,0.0,5,1,8,3,6,4,7,5,2,3
5,0.0,6,4,6,6,7,5,7,5,6,7
6,0.0,4,5,8,5,3,7,4,7,3,5
7,0.0,5,9,7,4,1,3,5,8,5,7
8,0.0,7,8,4,8,6,5,6,5,9,7
9,0.0,3,7,6,8,8,4,5,9,8,4
10,0.0,3,6,1,7,6,5,3,6,4,4
11,0.0,5,4,6,2,6,5,4,6,7,4
12,0.0,6,8,7,10,8,4,7,11,3,3
13,0.0,10,6,5,7,8,11,10,5,9,10
14,0.0,3,2,2,5,3,4,3,2,3,3
15,0.0,5,6,4,3,2,5,6,3,5,6
