Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,2.0210000000000004,0.05146843692941596,2.09,2.01,2.1,1.96,2.03,1.93,2.0,2.04,1.99,2.06
1,2.048000000000018,0.09997999799933398,2.1,2.16,2.18,2.0,2.01,1.88,2.01,1.92,2.04,2.18
2,2.0660000000000123,0.10622617379886028,2.04,2.21,2.21,1.97,2.1,1.92,1.98,1.95,2.08,2.2
3,2.071000000000019,0.11094593277748406,2.07,2.26,2.2,1.94,2.14,1.91,1.99,1.98,2.06,2.16
4,2.088000000000011,0.11169601604336044,2.1,2.28,2.23,1.98,2.14,1.96,2.0,1.96,2.04,2.19
5,2.1020000000000043,0.10787029248112655,2.15,2.28,2.23,1.98,2.14,1.94,2.02,2.01,2.08,2.19
6,2.0920000000000134,0.11373653766445761,2.15,2.28,2.23,1.98,2.14,1.94,1.99,2.0,2.02,2.19
7,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
8,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
9,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
10,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
11,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
12,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
13,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
14,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
15,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
16,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
17,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
18,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
19,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
20,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
21,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
22,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
23,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
24,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
25,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
26,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
27,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
28,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
29,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
30,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
31,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
32,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
33,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
34,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
35,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
36,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
37,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
38,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
39,2.0960000000000094,0.11074294559892041,2.15,2.28,2.23,1.98,2.14,1.94,2.03,2.0,2.02,2.19
