PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,11,11,6,5,6,6,6,10,5,4
1,0.0,10,9,8,9,11,5,9,7,7,7
2,0.0,11,7,6,5,8,8,8,5,11,6
3,0.0,6,5,10,10,10,12,8,7,11,7
4,0.0,3,5,3,5,6,2,6,1,5,5
5,0.0,5,6,7,5,6,6,4,6,3,7
6,0.0,3,6,7,5,3,7,3,5,2,3
7,0.0,8,10,8,7,1,7,2,5,5,9
8,0.0,6,6,7,9,7,5,5,11,6,6
9,0.0,8,7,4,2,9,8,6,7,8,7
10,0.0,3,5,4,7,6,5,7,5,7,5
11,0.0,4,3,5,4,6,7,11,10,5,7
12,0.0,8,8,9,9,7,7,8,9,5,6
13,0.0,7,3,7,7,7,6,8,4,9,10
14,0.0,5,3,5,6,2,6,3,4,6,5
15,0.0,2,6,4,5,5,3,6,4,5,6
