PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,27,30,32,33,34,29,34,24,34,32
1,0.0,19,18,12,18,16,18,18,20,17,16
2,0.0,14,17,16,12,19,17,12,19,16,14
3,0.0,16,15,13,10,6,11,17,14,14,14
4,0.0,9,6,9,7,8,5,6,6,3,7
5,0.0,8,4,5,6,6,8,3,6,6,7
6,0.0,2,7,5,8,5,3,2,5,5,3
7,0.0,3,2,3,1,1,2,2,1,1,2
8,NaN,0,0,4,1,0,2,2,0,2,0
9,0.0,1,1,0,2,3,1,1,3,1,3
10,0.0,1,0,0,1,1,0,2,1,0,1
11,NaN,0,0,1,1,1,3,1,1,0,0
12,NaN,0,0,0,0,0,1,0,0,1,1
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
