PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,45,37,35,36,30,41,30,42,34,34
1,0.0,18,19,19,26,20,17,30,18,21,21
2,0.0,14,12,15,15,22,14,15,15,16,18
3,0.0,11,13,16,11,11,8,13,16,15,10
4,0.0,1,4,6,7,4,9,5,3,4,3
5,0.0,1,3,4,2,7,5,1,2,3,4
6,0.0,5,5,2,0,1,3,2,1,2,3
7,0.0,2,4,0,1,2,0,3,2,3,1
8,0.0,1,1,2,1,1,1,0,1,0,5
9,NaN,0,0,0,0,0,1,0,0,1,0
10,0.0,1,2,0,0,2,0,0,0,0,0
11,NaN,0,0,0,0,0,0,1,0,0,0
12,0.0,1,0,0,1,0,1,0,0,1,1
13,NaN,0,0,1,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
